Product Name,Price (TL)
Apple iPhone 16 Pro,77999
Apple iPhone 15,55389
Apple iPhone 15,62089
Apple iPhone 15 Pro Max,94999
Apple iPhone 15 Pro Max,94999
Apple iPhone 15 Plus,65299
Apple iPhone 15 Plus,69999
Apple iPhone 15 Pro,89499
Apple iPhone 15 Pro,94545
Apple iPhone 15 Pro,73999
Apple iPhone 16,62799
Apple iPhone 16,74179
Apple iPhone 16 Plus,73195
Apple iPhone 16 Plus,83790
Apple iPhone 16 Pro Max,94999
Apple iPhone 16 Pro Max,94999
Apple iPhone 16 Plus,83790
Apple iPhone 16 Plus,73195
Apple iPhone 16,74179
Apple iPhone 16,62799
Apple iPhone 15 Pro,73999
Apple iPhone 15 Pro,94545
Apple iPhone 15 Pro,89499
Apple iPhone 15 Pro,73999
Apple iPhone 15 Pro,94545
Apple iPhone 15 Pro,89499
Apple iPhone 15 Plus,69999
Apple iPhone 15 Plus,65299
Apple iPhone 15 Plus,69999
Apple iPhone 15 Plus,65299
Apple iPhone 16 Pro,89999
Apple iPhone 15 Pro Max,94999
Apple iPhone 15 Pro Max,94999
Apple iPhone 15 Pro Max,94999
Apple iPhone 15,62089
Apple iPhone 15,55389
Apple iPhone 15,62089
Apple iPhone 15,55389
Apple iPhone 16 Pro,77999
Apple iPhone 16 Pro,89999
Apple iPhone 16 Pro,73999
Apple iPhone 15 Pro Max,94999
Apple iPhone 16 Pro,77999
Apple iPhone 15,55389
Apple iPhone 15,62089
Apple iPhone 15 Pro Max,94999
Apple iPhone 15 Pro Max,94999
Apple iPhone 15 Plus,65299
Apple iPhone 15 Plus,69999
Apple iPhone 15 Pro,89499
Apple iPhone 15 Pro,94545
Apple iPhone 15 Pro,73999
Apple iPhone 16,62799
Apple iPhone 16,74179
Apple iPhone 16 Plus,73195
Apple iPhone 16 Plus,83790
Apple iPhone 16 Pro,89999
Apple iPhone 16 Pro,73999
Apple iPhone 16 Pro Max,94999
HTC U23 Pro,38999
Huawei P60 Pro,28099
Huawei nova 11 Pro,41999
Huawei Pura 70 Pro,11799
Huawei nova 12i,38999
Huawei P60 Pro,41999
Huawei Pura 70 Pro,41999
Huawei Mate X3,17250
Huawei Pura 70,62499
Huawei nova 11,41999
Huawei Pura 70 Ultra,41999
Huawei Pura 70 Pro,62499
Huawei Pura 70 Pro,17250
Huawei Pura 70 Ultra,0
Huawei nova 11,12969
Oppo Reno12 Pro,14188
Oppo Reno10,0
Oppo Find N3 Flip,12969
Oppo Reno11,0
Oppo Reno12,0
Oppo Reno10,14188
Oppo Reno8 T,12969
Oppo Reno12 Pro,6877
Oppo Reno11,34599
Oppo Reno10,5723
Realme C67,6980
Realme C51,15799
8,15799
Realme Note 50,7099
Realme C61,11519
Realme 12 Pro,9374
Realme 12 Pro+,6980
Realme C65,14751
Realme 12+,5723
Realme C55,15799
Realme C61,15799
Realme 11 Pro,7519
Realme Note 50,7519
Realme 12 Pro,14751
Realme 12 Pro+,14751
Realme 12x,10368
Realme C53,7519
Realme C53,9374
Realme 11 Pro+,7519
Realme 11 Pro,14751
Realme 11,34599
Realme C53,5723
Realme C55,15799
Realme C53,7099
Realme 11 Pro,11519
8,7327
Realme Note 50,7327
Realme 12 Pro+,8029
Realme C65,12400
Realme 12+,24351
Samsung Galaxy A05,24351
Samsung Galaxy A05,24351
Samsung Galaxy A05s,39447
Samsung Galaxy Tab S9 FE,10084
Samsung Galaxy S23 FE,10084
Samsung Galaxy S23 FE,63840
Samsung Galaxy S23 FE,63840
Samsung Galaxy Z Flip5,63840
Samsung Galaxy A15,14349
Samsung Galaxy A15,14929
Samsung Galaxy S24 Ultra,18650
Samsung Galaxy S24 Ultra,18650
Samsung Galaxy S24+,0
Samsung Galaxy A35,36994
Samsung Galaxy A35,39447
Samsung Galaxy A55,63840
Samsung Galaxy A55,49516
Samsung Galaxy M55,69999
Samsung Galaxy S24,25629
Samsung Galaxy Z Flip5,63840
Samsung Galaxy S24,13659
Samsung Galaxy Z Flip6,10084
Samsung Galaxy Z Fold6,9717
Samsung Galaxy Z Fold6,9717
Samsung Galaxy S24 FE,33499
Samsung Galaxy S24 FE,45949
Samsung Galaxy A25,45949
Samsung Galaxy A15 5G,10222
Samsung Galaxy A14,17318
Samsung Galaxy A14,44458
Samsung Galaxy S23,45949
Samsung Galaxy S23,45949
Samsung Galaxy S23+,15327
Samsung Galaxy M15,18200
Samsung Galaxy A34,57889
Samsung Galaxy S23 Ultra,0
Samsung Galaxy S23 Ultra,39447
Samsung Galaxy S23 Ultra,7327
Samsung Galaxy A54,8029
Samsung Galaxy A54,8029
Samsung Galaxy Z Fold5,24351
Samsung Galaxy Z Fold5,18525
Samsung Galaxy Z Flip5,39447
Samsung Galaxy A05,0
Samsung Galaxy A05s,57889
Samsung Galaxy A05s,49516
Samsung Galaxy S23 FE,39447
Samsung Galaxy A34,8029
Samsung Galaxy Z Flip5,8029
Samsung Galaxy Z Fold5,12400
Samsung Galaxy Z Fold5,24351
Samsung Galaxy Z Flip6,0
Samsung Galaxy Z Flip5,57889
Samsung Galaxy A05s,15327
Samsung Galaxy A05s,10222
Samsung Galaxy Tab S9 FE+,69999
Samsung Galaxy S23 FE,25629
Samsung Galaxy Z Fold5,63840
Samsung Galaxy Z Fold5,13659
Samsung Galaxy A54,10084
Samsung Galaxy M15,9717
Samsung Galaxy Z Fold6,9717
Samsung Galaxy Z Fold6,33499
Samsung Galaxy S24 FE,45949
Samsung Galaxy S24 FE,45949
Samsung Galaxy A25,18525
Samsung Galaxy A15 5G,45949
Samsung Galaxy A14,45949
Samsung Galaxy A14,18200
Samsung Galaxy S23,63840
Samsung Galaxy S23,36994
Samsung Galaxy S23+,0
Samsung Galaxy A34,18650
Samsung Galaxy S23 Ultra,18650
Samsung Galaxy S23 Ultra,14929
Samsung Galaxy A54,14349
Samsung Galaxy S24,63840
Samsung Galaxy S24,63840
Samsung Galaxy M55,63840
Samsung Galaxy A55,10993
Samsung Galaxy A55,10084
Samsung Galaxy A35,10084
Samsung Galaxy A35,10084
Samsung Galaxy S24+,63840
Samsung Galaxy S24 Ultra,9717
Samsung Galaxy S24 Ultra,33499
Samsung Galaxy A15,45949
Samsung Galaxy A15,33499
Samsung Galaxy A15,33499
Samsung Galaxy A15,45949
Samsung Galaxy M35,45949
Samsung Galaxy S24 Ultra,45949
Samsung Galaxy A14,45949
Samsung Galaxy S23,17318
Samsung Galaxy S23,44458
Samsung Galaxy S23,45949
Samsung Galaxy S23,45949
Samsung Galaxy S23,44458
Samsung Galaxy S23+,15327
Samsung Galaxy S23+,10993
Samsung Galaxy S23+,18200
Samsung Galaxy A34,10084
Samsung Galaxy S23 Ultra,13659
Samsung Galaxy S23 Ultra,10084
Samsung Galaxy S23 Ultra,18650
Samsung Galaxy S23 Ultra,18650
Samsung Galaxy A54,36994
Samsung Galaxy A15 5G,36994
Samsung Galaxy A54,63840
Samsung Galaxy A15 5G,36994
Samsung Galaxy A25,49516
Samsung Galaxy A15,49516
Samsung Galaxy A55,69999
Samsung Galaxy A55,69999
Samsung Galaxy S24,6000
Samsung Galaxy S24,25629
Samsung Galaxy S24,63840
Samsung Galaxy S24,25629
Samsung Galaxy Z Flip6,63840
Samsung Galaxy Z Flip6,13659
Samsung Galaxy Z Fold6,10084
Samsung Galaxy Z Fold6,11199
Samsung Galaxy Z Fold6,63840
Samsung Galaxy Z Fold6,14349
Samsung Galaxy A06,57889
Samsung Galaxy S24 FE,0
Samsung Galaxy S24 FE,57889
Samsung Galaxy S24 FE,14349
Samsung Galaxy S24 FE,14929
Samsung Galaxy A25,63840
Samsung Galaxy A15 5G,63840
Samsung Galaxy A24 4G,63840
Samsung Galaxy S24,63840
Samsung Galaxy A35,63840
Samsung Galaxy Z Fold5,63840
Samsung Galaxy Z Fold5,6630
Samsung Galaxy Z Fold5,7700
Samsung Galaxy A35,11599
Samsung Galaxy A35,5968
Samsung Galaxy S24+,6194
Samsung Galaxy S24+,23899
Samsung Galaxy S24 Ultra,19899
Samsung Galaxy S24 Ultra,27299
Samsung Galaxy S24 Ultra,56639
Samsung Galaxy S24 Ultra,56639
Tecno Spark 10 Pro,56639
Tecno Spark Go 2023,56639
Tecno Pova 6 Pro,0
Tecno Spark 10 5G,50000
Tecno Spark Go 2024,13999
vivo V30,8184
vivo V29,6423
vivo V40,10966
vivo X100,7399
vivo X100,44964
vivo X100 Pro,26594
vivo iQOO 12,0
vivo X100 Pro,7899
vivo iQOO 12,21374
Xiaomi Poco F5 Pro,0
Xiaomi Redmi Note 13 Pro 4G,10793
Xiaomi Redmi Note 13 Pro 4G,10793
Xiaomi Mix Flip,16641
Xiaomi Poco M6 4G,20424
Xiaomi Redmi 13,8442
Xiaomi Redmi A3,10689
Xiaomi 14,10689
Xiaomi Redmi 12,10689
Xiaomi 13 Ultra,21374
Xiaomi 13T Pro,7899
Xiaomi Poco C65,9335
Xiaomi Redmi Note 12 Pro 4G,9335
Xiaomi Redmi 13C,9335
Xiaomi Poco X6 Pro,5975
Xiaomi Poco X6 Pro,0
Xiaomi Redmi Note 13,9048
Xiaomi Redmi Note 13,16641
Xiaomi Poco X6,0
Xiaomi Poco X6,21374
Xiaomi Redmi Note 13 4G,9048
Xiaomi Redmi Note 13 Pro+,0
Xiaomi Redmi Note 13 Pro,19999
Xiaomi Redmi Note 13 Pro,5975
Xiaomi Poco M6 Pro,9335
Xiaomi Redmi 13C 5G,9335
Xiaomi Redmi Note 12 4G,64964
Xiaomi Redmi Note 12 4G,64964
Xiaomi Redmi Note 12 4G,8184
Xiaomi Redmi A2+,13999
Xiaomi Redmi A2+,0
Xiaomi Redmi A2,7899
Xiaomi Poco X5 Pro,7899
Xiaomi Redmi Note 12S,21374
Xiaomi Poco F6,21374
Xiaomi Poco F6 Pro,0
Xiaomi Poco F6 Pro,10793
Xiaomi Redmi Note 12S,10793
Xiaomi Poco X5 Pro,16641
Xiaomi 13 Lite,20424
Xiaomi Redmi A2,14799
Xiaomi Redmi A2+,14799
Xiaomi Redmi Note 12 4G,14799
Xiaomi Redmi Note 12 4G,21631
Xiaomi 14,26594
Xiaomi 14 Ultra,13999
Xiaomi Redmi 13,7399
Xiaomi Poco M6 4G,0
Xiaomi Poco C65,6761
Xiaomi Redmi 13C,28998
Xiaomi Redmi 13C,22940
Xiaomi Poco M6 Pro,10966
Xiaomi Poco X6 Pro,0
Xiaomi Poco X6 Pro,7899
Xiaomi Redmi Note 13,7899
Xiaomi Redmi Note 13,21374
Xiaomi Poco X6,21374
Xiaomi Poco X6,0
Xiaomi Redmi Note 13 Pro+,10793
Xiaomi Redmi Note 13 Pro+,10793
Xiaomi Redmi Note 13 Pro,16641
Xiaomi 13T,20424
Xiaomi 13T Pro,10966
Xiaomi Redmi Note 12 Pro 4G,8442
Xiaomi Poco F5,14799
Xiaomi Redmi 12,14799
Xiaomi Poco F5 Pro,21631
Xiaomi Redmi Note 13 Pro 4G,9048
Xiaomi Redmi Note 13 Pro 4G,13999
Xiaomi Redmi 14C,0
Xiaomi 14T Pro,19999
Xiaomi 14T,5975
Xiaomi Redmi Note 13 4G,9335
Xiaomi Poco C65,9335
Xiaomi Redmi 13C,7899
Xiaomi Redmi 13C,26594
Xiaomi Poco M6 Pro,26594
Xiaomi Poco X6 Pro,13999
Xiaomi Poco X6 Pro,44964
Xiaomi Redmi Note 13,44964
Xiaomi Redmi Note 13,7399
Xiaomi Poco X6,7399
Xiaomi Poco X6,21374
Xiaomi Redmi Note 13 4G,0
Xiaomi Redmi Note 13 4G,13999
Xiaomi Redmi Note 13 Pro+,6423
Xiaomi Redmi Note 13 Pro,6423
Xiaomi 13T,64964
Xiaomi Redmi Note 12S,64964
Xiaomi Poco X5,0
Xiaomi Poco X5 Pro,16641
Xiaomi 13 Lite,0
Xiaomi Redmi A2,21374
Xiaomi Redmi Note 12 4G,8184
Xiaomi Redmi Note 12 4G,9048
Xiaomi Redmi 13C 5G,21374
Xiaomi 13T Pro,0
Xiaomi 13T Pro,16641
Xiaomi Redmi Note 12 Pro 4G,64964
Xiaomi Redmi Note 12 Pro 4G,64964
Xiaomi Poco F5,6423
Xiaomi 13 Ultra,6423
Xiaomi 13 Ultra,8184
Xiaomi Redmi 12,13999
Xiaomi Redmi 12,22940
Xiaomi Poco F5 Pro,9048
Xiaomi Poco F5 Pro,7899
Xiaomi Redmi Note 13 Pro 4G,13999
Xiaomi Redmi Note 13 Pro 4G,0
Xiaomi Poco M6 4G,19999
Xiaomi Redmi A3,28998
Xiaomi Redmi A3,5975
Xiaomi 14 Ultra,10966
Xiaomi 14,9335
Xiaomi Redmi A3x,9335
Xiaomi Poco F6,9335
Xiaomi Poco F6 Pro,6761
Xiaomi Poco F6 Pro,6761
Xiaomi Redmi 13,16641
Xiaomi Redmi Note 12S,14799
Xiaomi Poco F6 Pro,8442
Xiaomi Poco F6 Pro,10966
Xiaomi Poco F6,20424
Xiaomi 14,26594
Xiaomi 14 Ultra,10793
Xiaomi Redmi A3,21374
Xiaomi Redmi A3,21374
Xiaomi Redmi 13,7899
Xiaomi Poco M6 4G,7899
Xiaomi 14T,14799
Xiaomi Redmi Note 12S,0
Xiaomi Redmi 13C 5G,26594
Xiaomi Poco X5,13999
Xiaomi Poco X5 Pro,7399
Xiaomi 13 Lite,7399
Xiaomi 14T Pro,21374
Xiaomi Redmi A2,0
Xiaomi Redmi Note 12 4G,12500
Xiaomi Redmi Note 12 4G,14799
