Product Name,Date,Price,Image
Apple iPhone 16 Pro 256GB ,10.09.2024,"87.999,00 TL",https://cdn.akakce.com/z/apple/iphone-16-pro.jpg
Apple iPhone 15 256GB ,30.08.2024,"54.999,00 TL",https://cdn.akakce.com/z/apple/iphone-15-256-gb.jpg
Apple iPhone 15 512GB ,30.08.2024,"60.899,00 TL",https://cdn.akakce.com/z/apple/apple-iphone-15-512-gb.jpg
Apple iPhone 15 Pro Max 512GB ,10.09.2024,"109.999,00 TL",https://cdn.akakce.com/z/apple/apple-iphone-16-pro-max-512-gb.jpg
Apple iPhone 15 Pro Max 1000GB ,10.09.2024,"109.999,00 TL",https://cdn.akakce.com/z/apple/apple-iphone-16-pro-max-512-gb.jpg
Apple iPhone 15 Plus 256GB ,30.08.2024,"60.999,00 TL",https://cdn.akakce.com/z/apple/iphone-15-plus-256-gb.jpg
Apple iPhone 15 Plus 512GB ,30.08.2024,"69.999,00 TL",https://cdn.akakce.com/z/apple/iphone-15-plus-512-gb.jpg
Apple iPhone 15 Pro 256GB ,30.08.2024,"65.739,88 TL",https://cdn.akakce.com/z/apple/apple-iphone-15-pro-256-gb.jpg
Apple iPhone 15 Pro 512GB ,30.08.2024,"74.999,00 TL",https://cdn.akakce.com/z/apple/iphone-15-pro-512-gb.jpg
Apple iPhone 15 Pro 1000GB ,10.09.2024,"82.999,00 TL",https://cdn.akakce.com/z/apple/iphone-16-pro-128-gb.jpg
Apple iPhone 16 256GB ,10.09.2024,"69.999,00 TL",https://cdn.akakce.com/z/apple/iphone-16-256-gb.jpg
Apple iPhone 16 512GB ,10.09.2024,"79.999,00 TL",https://cdn.akakce.com/z/apple/iphone-16-512-gb.jpg
Apple iPhone 16 Plus 256GB ,10.09.2024,"78.999,00 TL",https://cdn.akakce.com/z/apple/apple-iphone-16-plus-256-gb.jpg
Apple iPhone 16 Plus 512GB ,10.09.2024,"88.999,00 TL",https://cdn.akakce.com/z/apple/iphone-16-plus-512-gb.jpg
Apple iPhone 16 Pro Max 1000GB ,10.09.2024,"109.999,00 TL",https://cdn.akakce.com/z/apple/apple-iphone-16-pro-max-512-gb.jpg
Apple iPhone 16 Pro Max 512GB ,10.09.2024,"109.999,00 TL",https://cdn.akakce.com/z/apple/apple-iphone-16-pro-max-512-gb.jpg
Apple iPhone 16 Pro 512GB ,10.09.2024,"97.999,00 TL",https://cdn.akakce.com/z/apple/iphone-16-pro-512-gb.jpg
Apple iPhone 16 Pro 1000GB ,10.09.2024,"82.999,00 TL",https://cdn.akakce.com/z/apple/iphone-16-pro-128-gb.jpg
Huawei P60 Pro 512GB ,30.08.2024,"39.999,00 TL",https://cdn.akakce.com/z/huawei/huawei-p60-pro-256-gb.jpg
Huawei nova 11 Pro 512GB ,11.02.2025,"34.999,00 TL",https://cdn.akakce.com/z/huawei/huawei-nova-13-pro.jpg
Huawei Pura 70 Pro 512GB ,30.08.2024,"44.799,08 TL",https://cdn.akakce.com/z/huawei/huawei-pura-70-pro.jpg
Huawei nova 12i 256GB ,30.08.2024,"13.999,00 TL",https://cdn.akakce.com/z/huawei/huawei-nova-12i.jpg
Huawei Pura 70 512GB ,30.08.2024,"44.799,08 TL",https://cdn.akakce.com/z/huawei/huawei-pura-70-pro.jpg
Huawei nova 11 256GB ,30.08.2024,"19.999,00 TL",https://cdn.akakce.com/z/huawei/huawei-nova-11.jpg
Huawei Pura 70 Ultra 1000GB ,30.08.2024,"66.999,00 TL",https://cdn.akakce.com/z/huawei/huawei-pura-70-ultra.jpg
Huawei Pura 70 Pro 1000GB ,30.08.2024,"44.799,08 TL",https://cdn.akakce.com/z/huawei/huawei-pura-70-pro.jpg
Oppo Reno10 256GB ,12.09.2024,"17.730,00 TL",https://cdn.akakce.com/z/oppo/oppo-reno-10-5g.jpg
Oppo Reno11 256GB ,30.08.2024,"16.435,99 TL",https://cdn.akakce.com/z/oppo/oppo-reno-11f.jpg
Realme C51 128GB ,16.07.2024,"3.734,63 TL",https://cdn.akakce.com/z/realme/realme-c51.jpg
Realme C61 256GB ,04.09.2024,"9.799,00 TL",https://iis-akakce.akamaized.net/p.z?%2F%2Fcdn%2Eevkur%2Ecom%2Etr%2Fc%2FProduct%2Frealme%2Dc61%2D8%2D256gb%2Dakilli%2Dtelefon%2Dkoyu%2Dyesil%5Fj7g9hw%2Ejpg
Realme 12 Pro 256GB ,30.08.2024,"18.399,00 TL",https://cdn.akakce.com/z/realme/realme-12-pro.jpg
Realme 12 Pro+ 256GB ,30.08.2024,"18.399,00 TL",https://cdn.akakce.com/z/realme/realme-12-pro.jpg
Realme C65 128GB ,30.09.2024,"8.049,00 TL",https://cdn.akakce.com/z/realme/realme-c65-128-gb-8-gb.jpg
Realme 12+ 256GB ,30.09.2024,"17.999,00 TL",https://cdn.akakce.com/z/realme/realme-12.jpg
Realme C55 256GB ,04.09.2024,"7.490,00 TL",https://cdn.akakce.com/z/realme/realme-c55-256-gb.jpg
Realme 11 Pro 256GB ,30.08.2024,"14.184,00 TL",https://cdn.akakce.com/z/realme/realme-11-pro.jpg
Realme C53 256GB ,04.09.2024,"7.245,00 TL",https://iis-akakce.akamaized.net/p.z?%2F%2Freimg%2Dteknosa%2Dcloud%2Dprod%2Emncdn%2Ecom%2Fmnresize%2F300%2F300%2Fproductimage%2F125079587%2F125079587%5F0%5FMC%2F90520038%2Ejpg%3Fimg%3D125079587
Realme 11 Pro+ 256GB ,30.08.2024,"14.184,00 TL",https://cdn.akakce.com/z/realme/realme-11-pro.jpg
Realme 11 256GB ,30.08.2024,"10.780,00 TL",https://cdn.akakce.com/z/realme/realme-11.jpg
Samsung Galaxy A05 128GB ,04.09.2024,"6.359,27 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-a05.jpg
Samsung Galaxy A05s 128GB ,04.09.2024,"6.973,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-a05s.jpg
Samsung Galaxy Tab S9 FE 256GB ,30.08.2024,"14.999,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-tab-s9-fe-sm-x510-256-gb-10-9.jpg
Samsung Galaxy S23 FE 256GB ,30.08.2024,"24.288,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-s23-fe-256-gb.jpg
Samsung Galaxy Z Flip5 512GB ,30.08.2024,"42.679,03 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-z-flip-5.jpg
Samsung Galaxy A15 128GB ,30.08.2024,"8.169,05 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-a15-128-gb-6-gb.jpg
Samsung Galaxy S24 Ultra 512GB ,30.08.2024,"64.099,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-s24-ultra.jpg
Samsung Galaxy S24 Ultra 1000GB ,30.08.2024,"64.099,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-s24-ultra.jpg
Samsung Galaxy S24+ 512GB ,30.08.2024,"64.099,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-s24-ultra.jpg
Samsung Galaxy A35 128GB ,30.08.2024,"13.175,55 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-a35.jpg
Samsung Galaxy A35 256GB ,30.08.2024,"14.899,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-a35-256-gb.jpg
Samsung Galaxy A55 256GB ,30.08.2024,"18.167,83 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-a55-256-gb.jpg
Samsung Galaxy S24 256GB ,30.08.2024,"38.140,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-s24-256-gb.jpg
Samsung Galaxy S24 512GB ,30.08.2024,"64.099,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-s24-ultra.jpg
Samsung Galaxy Z Flip6 512GB ,30.08.2024,"56.049,05 TL",https://iis-akakce.akamaized.net/p.z?%2F%2Fproductimages%2Ehepsiburada%2Enet%2Fs%2F777%2F600%2F110000726118033%2Ejpg
Samsung Galaxy Z Fold6 512GB ,30.08.2024,"77.898,89 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-z-fold-6-512-gb.jpg
Samsung Galaxy S24 FE 512GB ,30.08.2024,"64.099,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-s24-ultra.jpg
Samsung Galaxy A25 256GB ,30.08.2024,"12.049,47 TL",https://iis-akakce.akamaized.net/p.z?%2F%2Fsamsung%2Dakinon%2Ea%2Dcdn%2Eakinoncdn%2Ecom%2Fproducts%2F2024%2F01%2F09%2F20758%2F01cdb895%2Debdf%2D4447%2Db7be%2Df227cc63a17a%2Ejpg
Samsung Galaxy A15 5G 128GB ,30.08.2024,"8.169,05 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-a15-128-gb-6-gb.jpg
Samsung Galaxy A14 128GB ,30.08.2024,"7.197,41 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-a14.jpg
Samsung Galaxy S23 256GB ,30.08.2024,"31.200,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-s23-256-gb.jpg
Samsung Galaxy S23 512GB ,30.08.2024,"52.650,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-s23-ultra-512-gb.jpg
Samsung Galaxy S23+ 512GB ,30.08.2024,"52.650,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-s23-ultra-512-gb.jpg
Samsung Galaxy M15 128GB ,30.08.2024,"7.098,99 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-m15.jpg
Samsung Galaxy A34 128GB ,30.08.2024,"14.184,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-a34.jpg
Samsung Galaxy S23 Ultra 256GB ,30.08.2024,"44.699,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-s23-ultra-256-gb.jpg
Samsung Galaxy S23 Ultra 512GB ,30.08.2024,"52.650,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-s23-ultra-512-gb.jpg
Samsung Galaxy S23 Ultra 1000GB ,30.08.2024,"52.650,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-s23-ultra-512-gb.jpg
Samsung Galaxy A54 128GB ,30.08.2024,"14.800,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-a54.jpg
Samsung Galaxy A54 256GB ,30.08.2024,"15.979,06 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-a54-256-gb.jpg
Samsung Galaxy Z Fold5 512GB ,30.08.2024,"58.399,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-z-fold-5.jpg
Samsung Galaxy A34 256GB ,30.08.2024,"15.099,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-a34-256-gb.jpg
Samsung Galaxy Tab S9 FE+ 256GB ,30.08.2024,"14.999,00 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-tab-s9-fe-sm-x510-256-gb-10-9.jpg
Samsung Galaxy A15 256GB ,30.08.2024,"9.974,04 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-a15-256-gb-8-gb.jpg
Samsung Galaxy A15 5G 256GB ,30.08.2024,"9.974,04 TL",https://cdn.akakce.com/z/samsung/samsung-galaxy-a15-256-gb-8-gb.jpg
